Comp No,Comp Name,SIC Code,Inc Date,Last Made Up Date,Cash
6909595,TRACKIT DIGITAL LTD,62090,19/05/2009,19/05/2012,666
7175256,VIDEO REVIEWS LIMITED,59112,02/03/2010,02/03/2012,"1,253"
0,,,,,
0,,,,,
00SC390886,,,,,
8190356,LEMONYLIME BUSINESS AND COMMUNITY NETWORKING LTD,None,24/08/2012,,
0,,,,,
0,,,,,
0,,,,,
8346380,STREETZEST LTD,None,03/01/2013,,
8132229,STREAMIX DIGITAL LTD,None,05/07/2012,,
0,,,,,
0,,,,,
0,,,,,
7580489,IMKEI LTD,63120,28/03/2011,28/03/2012,
7929595,SHIELDNET LTD,None,31/01/2012,,
0,,,,,
